dataset name,amount of badness,task,base learner,macro_f1,auc_roc,minority_precision,minority_recall,minority_f1,majority_f1,train_time,inference_time
credit-g,0.04,Task.SEMI_SUPERVISED,DT,0.6647892784795106,0.7575046759882111,0.563963579182603,0.4718693284936479,0.5123811204086433,0.8171974365503779,0.07744155880063772,0.00518005839549005
credit-g,0.04,Task.SEMI_SUPERVISED,RF,0.663068585983069,0.789360992309408,0.6645676769467092,0.3811252268602541,0.4821500226229979,0.8439871493431399,0.19587112930603326,0.006099925329908729
credit-g,0.05,Task.SEMI_SUPERVISED,DT,0.679678742581126,0.7504014602492092,0.5800524475524476,0.5101503759398496,0.5390238258812242,0.8203336592810277,0.07965813893824816,0.005198706826195121
credit-g,0.05,Task.SEMI_SUPERVISED,RF,0.658490262629863,0.7869942678770767,0.6421645021645022,0.3825814536340852,0.47831645882207685,0.838664066437649,0.19711691341362894,0.006183553021401167
credit-g,0.06,Task.SEMI_SUPERVISED,DT,0.6530182549499085,0.7204470340493844,0.541906358857716,0.46578947368421053,0.49946561297887576,0.8065708969209415,0.08311357200145722,0.005349674401804805
credit-g,0.06,Task.SEMI_SUPERVISED,RF,0.6593032347278195,0.7782015326310223,0.656412952060555,0.387531328320802,0.4820183346065699,0.8365881348490689,0.19819556819275022,0.006055884575471282
credit-g,0.07,Task.SEMI_SUPERVISED,DT,0.6709198172969268,0.7364114892740846,0.5435578776268433,0.5304545454545455,0.5365986334804607,0.8052410011133929,0.09163022139109671,0.005589289683848619
credit-g,0.07,Task.SEMI_SUPERVISED,RF,0.6731519833897295,0.7824381725145083,0.658903906171348,0.41220779220779213,0.5056713595070821,0.8406326072723769,0.1970724412240088,0.006076462613418698
credit-g,0.08,Task.SEMI_SUPERVISED,DT,0.6494038177673225,0.7095762546561966,0.5177389069892857,0.49499999999999994,0.5043411348084245,0.7944665007262204,0.11160479658283293,0.005860903766006231
credit-g,0.08,Task.SEMI_SUPERVISED,RF,0.6693209343927261,0.7832513583194907,0.6476923076923077,0.41194805194805195,0.5017805383022774,0.8368613304831749,0.19532676916569472,0.005877610063180327
credit-g,0.09,Task.SEMI_SUPERVISED,DT,0.6167966451665209,0.705391480421008,0.46275701310184064,0.4725252525252525,0.46574338412236677,0.767849906210675,0.09048784580081701,0.005355411022901535
credit-g,0.09,Task.SEMI_SUPERVISED,RF,0.6637812260847543,0.7714630681818182,0.6356639159789947,0.40269360269360266,0.49102812277249547,0.8365343293970131,0.1987475066445768,0.006063950574025511
credit-g,0.1,Task.SEMI_SUPERVISED,DT,0.623898741236479,0.7032194238683127,0.4832278792249943,0.4577104377104376,0.46923808956270713,0.7785593929102508,0.08866334953345359,0.005387167213484645
credit-g,0.1,Task.SEMI_SUPERVISED,RF,0.6906238238675291,0.7679914788092568,0.6436075036075035,0.47265993265993267,0.5431760908049569,0.8380715569301014,0.1975065070670098,0.0061159349977970125
spambase,0.5,Task.DATA_IMBALANCE,DT,0.9255330843984764,0.9808005024551788,0.8856217079043166,0.9268242548818089,0.9036309357105023,0.9474352330864502,0.15876579559408127,0.0014469222165644168
spambase,0.5,Task.DATA_IMBALANCE,RF,0.9312368961132208,0.9809907649916934,0.884825797151793,0.9411819116135665,0.9108379961793845,0.9516357960470572,0.6669680289924145,0.002459627017378807
spambase,0.25,Task.DATA_IMBALANCE,DT,0.9076935541243397,0.9849923195084486,0.781340490814029,0.9542857142857144,0.8573145305810753,0.9580725776676043,0.13576947804540396,0.0014521501492708922
spambase,0.25,Task.DATA_IMBALANCE,RF,0.8943292208540126,0.9834920634920635,0.7497866804195291,0.9514285714285714,0.8369827697681705,0.9516756719398547,0.7363629064522683,0.002473907358944416
spambase,0.01,Task.DATA_IMBALANCE,DT,0.5591143399759668,0.9670250896057346,0.11887070617720771,0.5999999999999999,0.1607497741644083,0.9574789057875253,0.1067734149750322,0.0010849629994481801
spambase,0.01,Task.DATA_IMBALANCE,RF,0.6696021547830124,0.9610513739545997,0.3209412955465587,0.9333333333333333,0.4103967902950654,0.9288075192709593,0.16786184995435177,0.0015901369508355856
spambase,0.02,Task.DATA_IMBALANCE,DT,0.6413955625204297,0.9582556750298685,0.23194932518461933,0.8466666666666667,0.33222079589216946,0.9505703291486899,0.11502027637325227,0.001184943411499262
spambase,0.02,Task.DATA_IMBALANCE,RF,0.67831162412904,0.9741457586618877,0.25401562180509546,0.8466666666666667,0.385752688172043,0.970870560086037,0.588228550599888,0.0018945302348583938
